,input,label
0,blueoutsidedoor [SEP] thousand [SEP] Imagine that a stranger will give Hank one thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,0
1,"breakwindows [SEP] gun [SEP] Imagine that a stranger tells Hank to break all the windows in his neighbor's house without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.",1
2,breakwindows [SEP] hundred [SEP] Imagine that a stranger will give Hank one hundred dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
3,breakwindows [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
4,breakwindows [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
5,erasemural [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,0
6,erasemural [SEP] million [SEP] Imagine that a stranger will give Hank one million dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,0
7,erasemural [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,0
8,blueoutsidedoor [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,0
9,erasemural [SEP] thousand [SEP] Imagine that a stranger will give Hank one thousand dollars to paint over a mural that his neighbor's daughter painted without his neighbor's permission. Hank carries out the stranger’s request.,0
10,razehouse [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
11,razehouse [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
12,razehouse [SEP] thousand [SEP] Imagine that a stranger will give Hank one thousand dollars to completely demolish his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
13,"smearpoop [SEP] gun [SEP] Imagine that a stranger tells Hank to smear dog poop all over his neighbor's front step without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.",1
14,smearpoop [SEP] hundred [SEP] Imagine that a stranger will give Hank one hundred dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,0
15,smearpoop [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to smear dog poop all over his neighbor's front step without his neighbor's permission. Hank carries out the stranger’s request.,0
16,breakwindows [SEP] million [SEP] Imagine that a stranger will give Hank one million dollars to break all the windows in his neighbor's house without his neighbor's permission. Hank carries out the stranger’s request.,0
17,bleachlawn [SEP] hundred [SEP] Imagine that a stranger will give Hank one hundred dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,0
18,bleachlawn [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,0
19,bleachlawn [SEP] million [SEP] Imagine that a stranger will give Hank one million dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,0
20,bleachlawn [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,0
21,bleachlawn [SEP] thousand [SEP] Imagine that a stranger will give Hank one thousand dollars to spill several gallons of bleach on his neighbor's front lawn without his neighbor's permission. Hank carries out the stranger’s request.,0
22,bluehouse [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,0
23,bluehouse [SEP] million [SEP] Imagine that a stranger will give Hank one million dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,0
24,bluehouse [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,0
25,bluehouse [SEP] thousand [SEP] Imagine that a stranger will give Hank one thousand dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,0
26,"blueinsidedoor [SEP] gun [SEP] Imagine that a stranger tells Hank to paint the inside of his neighbor's front door blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.",1
27,bluehouse [SEP] hundred [SEP] Imagine that a stranger will give Hank one hundred dollars to paint the outside of his neighbor's whole house blue without his neighbor's permission. Hank carries out the stranger’s request.,0
28,blueinsidedoor [SEP] hunthousand [SEP] Imagine that a stranger will give Hank one hundred thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,0
29,"blueoutsidedoor [SEP] gun [SEP] Imagine that a stranger tells Hank to paint the outside of his neighbor's front door blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.",1
30,bluemailbox [SEP] thousand [SEP] Imagine that a stranger will give Hank one thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,0
31,bluemailbox [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,0
32,bluemailbox [SEP] hundred [SEP] Imagine that a stranger will give Hank one hundred dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,1
33,bluemailbox [SEP] million [SEP] Imagine that a stranger will give Hank one million dollars to paint his neighbor's mailbox blue without his neighbor's permission. Hank carries out the stranger’s request.,1
34,"bluemailbox [SEP] gun [SEP] Imagine that a stranger tells Hank to paint his neighbor's mailbox blue without his neighbor's permission. If Hank refuses, the stranger will shoot and kill Hank's son. Hank carries out the stranger's request.",1
35,blueinsidedoor [SEP] tenthousand [SEP] Imagine that a stranger will give Hank ten thousand dollars to paint the inside of his neighbor's front door blue without his neighbor's permission. Hank carries out the stranger’s request.,0
